iter	Logloss
0	0.6619681585
1	0.635784543
2	0.6147172297
3	0.5965270745
4	0.5795733352
5	0.5661916577
6	0.5555050724
7	0.5457636005
8	0.5365220984
9	0.5280768852
10	0.5205194389
11	0.5141917417
12	0.5063834091
13	0.4989377644
14	0.4936026474
15	0.4875170095
16	0.4812514315
17	0.4767822679
18	0.4716981571
19	0.4648746891
20	0.4558607613
21	0.450663903
22	0.4434906078
23	0.4398100528
24	0.435038415
25	0.4315017837
26	0.4272859965
27	0.4214108965
28	0.4186414877
29	0.4163301706
30	0.4097156203
31	0.4058622616
32	0.4028891494
33	0.3998174389
34	0.3962952343
35	0.3930686723
36	0.3898427334
37	0.3869050886
38	0.381686202
39	0.377123357
40	0.3747266448
41	0.3722988146
42	0.3705953214
43	0.3687462284
44	0.3649423188
45	0.3624004174
46	0.3602657767
47	0.3591600959
48	0.3572394268
49	0.3526379632
50	0.3504837614
51	0.3465217496
52	0.3448440878
53	0.3424517657
54	0.3413480257
55	0.3400179725
56	0.3383359326
57	0.3365747344
58	0.3359813995
59	0.3326716963
60	0.3301074588
61	0.3289988617
62	0.3266522102
63	0.3250717859
64	0.3239779352
65	0.3231032696
66	0.3222671114
67	0.3195531998
68	0.3177022813
69	0.3166420322
70	0.315673668
71	0.3148253569
72	0.3133822566
73	0.3127813523
74	0.3111966046
75	0.3099320598
76	0.3092824501
77	0.3084540525
78	0.3074099422
79	0.3065047037
80	0.3058853132
81	0.3053324769
82	0.3022200708
83	0.2999257006
84	0.2986585014
85	0.2981786896
86	0.2966004133
87	0.2961221674
88	0.2937743204
89	0.2932583555
90	0.2925605211
91	0.2920511955
92	0.2916822608
93	0.2900312158
94	0.2894180758
95	0.288485167
96	0.2877514987
97	0.2858546753
98	0.2837789394
99	0.2833690639
