iter	Passed	Remaining
0	148	14713
1	239	11741
2	320	10363
3	393	9436
4	466	8854
5	538	8431
6	656	8723
7	740	8520
8	848	8575
9	952	8568
10	1057	8555
11	1139	8358
12	1240	8302
13	1335	8204
14	1410	7993
15	1529	8027
16	1635	7984
17	1755	7998
18	1840	7846
19	1940	7762
20	2036	7661
21	2126	7541
22	2250	7533
23	2340	7410
24	2458	7376
25	2554	7270
26	2676	7235
27	2845	7317
28	2956	7237
29	3066	7154
30	3169	7055
31	3346	7110
32	3451	7006
33	3552	6896
34	3647	6773
35	3761	6686
36	3862	6576
37	3953	6450
38	4043	6324
39	4131	6196
40	4236	6096
41	4341	5995
42	4422	5862
43	4496	5722
44	4606	5630
45	4730	5553
46	4828	5444
47	4928	5339
48	5048	5254
49	5135	5135
50	5243	5037
51	5352	4941
52	5431	4816
53	5516	4699
54	5583	4568
55	5651	4440
56	5749	4337
57	5869	4250
58	5957	4139
59	6062	4041
60	6179	3950
61	6323	3875
62	6437	3780
63	6527	3671
64	6609	3558
65	6697	3450
66	6795	3347
67	6893	3243
68	7000	3144
69	7071	3030
70	7146	2918
71	7237	2814
72	7353	2719
73	7433	2611
74	7505	2501
75	7630	2409
76	7721	2306
77	7816	2204
78	7911	2103
79	8030	2007
80	8117	1904
81	8182	1796
82	8261	1692
83	8342	1588
84	8422	1486
85	8488	1381
86	8563	1279
87	8651	1179
88	8727	1078
89	8803	978
90	8894	879
91	9002	782
92	9068	682
93	9171	585
94	9278	488
95	9357	389
96	9464	292
97	9539	194
98	9651	97
99	9746	0
